"test_num","board","sensor","marble_color","min_value","max_value","low_threshold","high_threshold","min_range","max_range","sensor_amplitude","monitored_mean","coeff_monitored_range","coeff_full_range","Maxy ref alpha","maxy i ref","maxy cal alpha","adjusted_full_range"
1,3,11," NONE   ",0,0,0,500,1000,2169,1169,0,-0.855431993156544,0,3143,2174,3174,0
1,3,11," Red    ",1000,1061,500,1184,1000,2169,1169,1030.5,0.0260906757912746,0.475103734439834,3143,2174,3174,0.469381442133619
1,3,11," Blue   ",1308,1432,1184,1485,1000,2169,1169,1370,0.316509837467921,0.631627478100507,3143,2174,3174,0.624019966737562
1,3,11," Yellow ",1538,1726,1485,1934,1000,2169,1169,1632,0.540633019674936,0.752420470262794,3143,2174,3174,0.743358091763286
1,3,11," White  ",2142,2169,1934,4095,1000,2169,1169,2155.5,0.988451668092387,0.993775933609959,3143,2174,3174,0.981806597301325
1,3,12," NONE   ",0,0,0,632,1263,2694,1431,0,-0.882599580712788,0,3143,2671,3174,0
1,3,12," Red    ",1263,1295,632,1428,1263,2694,1431,1279,0.0111809923130678,0.474758723088345,3143,2671,3174,0.474170045509695
1,3,12," Blue   ",1560,1846,1428,1938,1263,2694,1431,1703,0.307477288609364,0.632145508537491,3143,2671,3174,0.631361679048484
1,3,12," Yellow ",2030,2048,1938,2310,1263,2694,1431,2039,0.542278127183788,0.756867112100965,3143,2671,3174,0.755928633928279
1,3,12," White  ",2571,2694,2310,4095,1263,2694,1431,2632.5,0.957023060796646,0.9771714922049,3143,2671,3174,0.975959847384107
1,3,13," NONE   ",0,0,0,470,939,2105,1166,0,-0.805317324185249,0,3143,2124,3174,0
1,3,13," Red    ",939,1061,470,1178,939,2105,1166,1000,0.0523156089193825,0.475059382422803,3143,2124,3174,0.466211461533624
1,3,13," Blue   ",1295,1443,1178,1522,939,2105,1166,1369,0.368782161234991,0.650356294536817,3143,2124,3174,0.638243490839531
1,3,13," Yellow ",1602,1639,1522,1842,939,2105,1166,1620.5,0.584476843910806,0.769833729216152,3143,2124,3174,0.755495673415237
1,3,13," White  ",2045,2105,1842,4095,939,2105,1166,2075,0.974271012006861,0.985748218527316,3143,2124,3174,0.967388782682269
1,3,14," NONE   ",0,0,0,660,1321,2898,1577,0,-0.837666455294864,0,3143,2912,3174,0
1,3,14," Red    ",1321,1382,660,1528,1321,2898,1577,1351.5,0.0193405199746354,0.466356107660455,3143,2912,3174,0.459581076414134
1,3,14," Blue   ",1675,2027,1528,2132,1321,2898,1577,1851,0.336081166772353,0.63871635610766,3143,2912,3174,0.629437345499491
1,3,14," Yellow ",2237,2269,2132,2450,1321,2898,1577,2253,0.590995561192137,0.777432712215321,3143,2912,3174,0.766138486985604
1,3,14," White  ",2630,2898,2450,4095,1321,2898,1577,2764,0.915028535193405,0.95376121463078,3143,2912,3174,0.939905360864718
1,3,15," NONE   ",0,0,0,666,1332,2902,1570,0,-0.848407643312102,0,3143,2792,3174,0
1,3,15," Red    ",1332,1364,666,1548,1332,2902,1570,1348,0.0101910828025478,0.464507236388697,3143,2792,3174,0.478092506630701
1,3,15," Blue   ",1732,1914,1548,2058,1332,2902,1570,1823,0.312738853503185,0.628187456926258,3143,2792,3174,0.646559821652647
1,3,15," Yellow ",2202,2247,2058,2513,1332,2902,1570,2224.5,0.568471337579618,0.766540317022743,3143,2792,3174,0.788959036350144
1,3,15," White  ",2779,2902,2513,4095,1332,2902,1570,2840.5,0.960828025477707,0.978807718814611,3143,2792,3174,1.00743454383124
2,3,0," NONE   ",0,0,0,710,1419,3217,1798,0,-0.789210233592881,0,3143,3143,3217,0
2,3,0," Red    ",1419,1625,710,1870,1419,3217,1798,1522,0.057285873192436,0.473111594653404,3143,3143,3217,0.473111594653404
2,3,0," Blue   ",2114,2270,1870,2354,1419,3217,1798,2192,0.42992213570634,0.681380167858253,3143,3143,3217,0.681380167858253
2,3,0," Yellow ",2438,2491,2354,2834,1419,3217,1798,2464.5,0.581479421579533,0.766086415915449,3143,3143,3217,0.766086415915449
2,3,0," White  ",3176,3217,2834,4095,1419,3217,1798,3196.5,0.988598442714127,0.993627603357165,3143,3143,3217,0.993627603357165
2,3,1," NONE   ",0,0,0,666,1332,3073,1741,0,-0.765077541642734,0,3143,3051,3217,0
2,3,1," Red    ",1332,1476,666,1710,1332,3073,1741,1404,0.0413555427914991,0.456882525219655,3143,3051,3217,0.449591632945552
2,3,1," Blue   ",1943,2010,1710,2175,1332,3073,1741,1976.5,0.370189546237794,0.643182557761145,3143,3051,3217,0.632918705496356
2,3,1," Yellow ",2340,2378,2175,2670,1332,3073,1741,2359,0.589890867317634,0.767653758542141,3143,3051,3217,0.755403605497548
2,3,1," White  ",2963,3073,2670,4095,1332,3073,1741,3018,0.968408960367605,0.982102180279857,3143,3051,3217,0.966429877656464
2,3,2," NONE   ",0,0,0,623,1246,2560,1314,0,-0.948249619482496,0,3143,2712,3217,0
2,3,2," Red    ",1246,1305,623,1494,1246,2560,1314,1275.5,0.0224505327245053,0.4982421875,3143,2712,3217,0.459498499857413
2,3,2," Blue   ",1683,1877,1494,1939,1246,2560,1314,1780,0.406392694063927,0.6953125,3143,2712,3217,0.641244476476829
2,3,2," Yellow ",2001,2036,1939,2268,1246,2560,1314,2018.5,0.587899543378995,0.7884765625,3143,2712,3217,0.727164031330606
2,3,2," White  ",2500,2560,2268,4095,1246,2560,1314,2530,0.977168949771689,0.98828125,3143,2712,3217,0.911431755891223
2,3,3," NONE   ",0,0,0,694,1389,3080,1691,0,-0.8214074512123,0,3143,2992,3217,0
2,3,3," Red    ",1389,1425,694,1666,1389,3080,1691,1407,0.0106445890005914,0.456818181818182,3143,2992,3217,0.459436852848919
2,3,3," Blue   ",1907,1966,1666,2148,1389,3080,1691,1936.5,0.323772915434654,0.628733766233766,3143,2992,3217,0.632337928601231
2,3,3," Yellow ",2329,2347,2148,2644,1389,3080,1691,2338,0.5612063867534,0.759090909090909,3143,2992,3217,0.763442332594722
2,3,3," White  ",2942,3080,2644,4095,1389,3080,1691,3011,0.9591957421644,0.977597402597402,3143,2992,3217,0.98320139582665
2,3,4," NONE   ",0,0,0,594,1188,2576,1388,0,-0.855907780979827,0,3143,2429,3217,0
2,3,4," Red    ",1188,1252,594,1424,1188,2576,1388,1220,0.0230547550432277,0.47360248447205,3143,2429,3217,0.49071082210053
2,3,4," Blue   ",1595,1612,1424,1753,1188,2576,1388,1603.5,0.299351585014409,0.622476708074534,3143,2429,3217,0.644962953473935
2,3,4," Yellow ",1894,1944,1753,2210,1188,2576,1388,1919,0.526657060518732,0.744953416149068,3143,2429,3217,0.771863989845015
2,3,4," White  ",2476,2576,2210,4095,1188,2576,1388,2526,0.963976945244957,0.980590062111801,3143,2429,3217,1.01601273493929
2,3,5," NONE   ",0,0,0,472,945,2030,1085,0,-0.870967741935484,0,3143,2020,3217,0
2,3,5," Red    ",945,983,472,1108,945,2030,1085,964,0.0175115207373272,0.47487684729064,3143,2020,3217,0.466250150038318
2,3,5," Blue   ",1232,1318,1108,1434,945,2030,1085,1275,0.304147465437788,0.62807881773399,3143,2020,3217,0.616669026243625
2,3,5," Yellow ",1551,1574,1434,1766,945,2030,1085,1562.5,0.569124423963134,0.769704433497537,3143,2020,3217,0.755721845886796
2,3,5," White  ",1958,2030,1766,4095,945,2030,1085,1994,0.966820276497696,0.982266009852217,3143,2020,3217,0.964421990846893
2,3,6," NONE   ",0,0,0,518,1036,2179,1143,0,-0.906386701662292,0,3143,2113,3217,0
2,3,6," Red    ",1036,1083,518,1192,1036,2179,1143,1059.5,0.0205599300087489,0.486232216613125,3143,2113,3217,0.489885724516335
2,3,6," Blue   ",1302,1417,1192,1548,1036,2179,1143,1359.5,0.283027121609799,0.623910050481872,3143,2113,3217,0.628598058027331
2,3,6," Yellow ",1680,1754,1548,1900,1036,2179,1143,1717,0.595800524934383,0.787976135842129,3143,2113,3217,0.793896922127935
2,3,6," White  ",2047,2179,1900,4095,1036,2179,1143,2113,0.942257217847769,0.969710876548876,3143,2113,3217,0.976997202362449
2,3,7," NONE   ",0,0,0,616,1233,2612,1379,0,-0.894126178390138,0,3143,2623,3217,0
2,3,7," Red    ",1233,1266,616,1462,1233,2612,1379,1249.5,0.0119651921682379,0.478369065849923,3143,2623,3217,0.465405262810477
2,3,7," Blue   ",1659,1699,1462,1823,1233,2612,1379,1679,0.323422770123278,0.642802450229709,3143,2623,3217,0.625382502007836
2,3,7," Yellow ",1947,2011,1823,2276,1233,2612,1379,1979,0.540971718636693,0.757656967840735,3143,2623,3217,0.737124461866293
2,3,7," White  ",2540,2612,2276,4095,1233,2612,1379,2576,0.97389412617839,0.986217457886677,3143,2623,3217,0.959490961984625
2,3,8," NONE   ",0,0,0,477,954,2139,1185,0,-0.80506329113924,0,3143,2088,3217,0
2,3,8," Red    ",954,992,477,1121,954,2139,1185,973,0.0160337552742616,0.454885460495559,3143,2088,3217,0.455276953016601
2,3,8," Blue   ",1250,1442,1121,1462,954,2139,1185,1346,0.330801687763713,0.629266012155213,3143,2088,3217,0.629807583515257
2,3,8," Yellow ",1483,1682,1462,1886,954,2139,1185,1582.5,0.530379746835443,0.739831697054698,3143,2088,3217,0.740468425641081
2,3,8," White  ",2090,2139,1886,4095,954,2139,1185,2114.5,0.979324894514768,0.988546049555867,3143,2088,3217,0.989396831606992
