board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
5;15;" Green  ";1847;2030;1666;2294
5;15;" Blue   ";2745;2937;2294;3190
5;15;" White  ";3444;3456;3190;4095
6;0;" NONE   ";0;0;0;458
6;0;" Orange ";916;1083;458;1322
6;0;" Red    ";1429;1506;1322;1591
6;0;" Green  ";1801;1977;1591;2395
6;0;" Blue   ";2717;2823;2395;3083
6;0;" White  ";3344;3359;3083;4095
6;1;" NONE   ";0;0;0;506
6;1;" Orange ";1013;1239;506;1388
6;1;" Red    ";1512;1688;1388;1842
6;1;" Green  ";1998;2170;1842;2419
6;1;" Blue   ";2914;3224;2419;3288
6;1;" White  ";3353;3368;3288;4095
6;2;" NONE   ";0;0;0;484
6;2;" Orange ";968;1163;484;1376
6;2;" Red    ";1503;1616;1376;1706
6;2;" Green  ";1932;2120;1706;2599
6;2;" Blue   ";2978;3108;2599;3228
6;2;" White  ";3349;3363;3228;4095
6;3;" NONE   ";0;0;0;528
6;3;" Orange ";1057;1304;528;1486
6;3;" Red    ";1639;1893;1486;2043
6;3;" Green  ";2141;2343;2043;3070
6;3;" Blue   ";3240;3295;3070;3323
6;3;" White  ";3352;3368;3323;4095
6;4;" NONE   ";0;0;0;451
6;4;" Orange ";902;1089;451;1233
6;4;" Red    ";1344;1494;1233;1633
6;4;" Green  ";1767;1901;1633;2117
6;4;" Blue   ";2647;2890;2117;3112
6;4;" White  ";3334;3350;3112;4095
6;5;" NONE   ";0;0;0;434
6;5;" Orange ";869;962;434;1154
6;5;" Red    ";1270;1330;1154;1403
6;5;" Green  ";1596;1716;1403;1968
6;5;" Blue   ";2392;2522;1968;2920
6;5;" White  ";3318;3336;2920;4095
6;6;" NONE   ";0;0;0;380
6;6;" Orange ";761;911;380;1109
6;6;" Red    ";1231;1311;1109;1405
6;6;" Green  ";1589;1714;1405;2037
6;6;" Blue   ";2424;2564;2037;2927
6;6;" White  ";3290;3330;2927;4095
6;7;" NONE   ";0;0;0;422
6;7;" Orange ";845;993;422;1151
6;7;" Red    ";1269;1428;1151;1530
6;7;" Green  ";1630;1806;1530;1991
6;7;" Blue   ";2388;2695;1991;2998
6;7;" White  ";3301;3332;2998;4095
6;8;" NONE   ";0;0;0;420
6;8;" Orange ";841;1001;420;1121
6;8;" Red    ";1214;1368;1121;1490
6;8;" Green  ";1604;1757;1490;2129
6;8;" Blue   ";2411;2549;2129;2918
6;8;" White  ";3287;3322;2918;4095
6;9;" NONE   ";0;0;0;472
6;9;" Orange ";944;1171;472;1423
6;9;" Red    ";1484;1586;1423;1696
6;9;" Green  ";1875;2076;1696;2465
6;9;" Blue   ";2867;3054;2465;3193
6;9;" White  ";3333;3340;3193;4095
6;10;" NONE   ";0;0;0;415
6;10;" Orange ";830;1016;415;1217
6;10;" Red    ";1288;1391;1217;1496
6;10;" Green  ";1633;1804;1496;2156
6;10;" Blue   ";2555;2735;2156;3033
6;10;" White  ";3331;3340;3033;4095
6;11;" NONE   ";0;0;0;460
6;11;" Orange ";921;1157;460;1327
6;11;" Red    ";1449;1595;1327;1682
6;11;" Green  ";1900;2122;1682;2634
6;11;" Blue   ";3002;3127;2634;3232
6;11;" White  ";3337;3349;3232;4095
6;12;" NONE   ";0;0;0;459
6;12;" Orange ";918;1078;459;1254
6;12;" Red    ";1434;1563;1254;1738
6;12;" Green  ";1928;2036;1738;2316
6;12;" Blue   ";2917;3079;2316;3204
6;12;" White  ";3330;3346;3204;4095
6;13;" NONE   ";0;0;0;453
6;13;" Orange ";906;1203;453;1429
6;13;" Red    ";1546;1676;1429;1791
6;13;" Green  ";1993;2164;1791;2495
6;13;" Blue   ";3018;3233;2495;3283
6;13;" White  ";3333;3347;3283;4095
6;14;" NONE   ";0;0;0;477
6;14;" Orange ";954;1218;477;1426
6;14;" Red    ";1499;1611;1426;1797
