board;sensor;marble_color;min_value;max_value;mean;low_threshold;high_threshold
9;0;" White  ";3605;3636;3622;2973;4095
9;1;" NONE   ";2;104;30;0;597
9;1;" Orange ";1091;1311;1200;597;1665
9;1;" Green  ";2020;2185;2097;1665;2893
9;1;" White  ";3601;3624;3612;2893;4095
9;2;" NONE   ";8;92;33;0;531
9;2;" Orange ";971;1211;1085;531;1507
9;2;" Green  ";1803;1968;1886;1507;2762
9;2;" White  ";3556;3607;3590;2762;4095
9;3;" NONE   ";0;20;0;0;521
9;3;" Orange ";1023;1249;1116;521;1595
9;3;" Green  ";1942;2195;2028;1595;2888
9;3;" White  ";3582;3626;3605;2888;4095
9;4;" NONE   ";1;47;18;0;482
9;4;" Orange ";918;1055;991;482;1341
9;4;" Green  ";1627;1725;1674;1341;2621
9;4;" White  ";3517;3562;3535;2621;4095
9;5;" NONE   ";25;131;54;0;531
